epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6674,1.92566,3.14499,2.29258,0.19009,0.16795,0.10634,0.02478,2.70301,3.72347,3.727,0.00019798,0.00019798,0.0804
2,79.7379,1.77885,2.73583,2.19775,0.61948,0.11662,0.06362,0.01646,2.56187,4.86982,3.12204,0.00039601,0.00039601,0.060598
3,118.82,1.7731,2.70075,2.20041,0.22139,0.33109,0.16137,0.05263,2.46098,3.53864,3.23645,0.00059206,0.00059206,0.0407941
4,156.548,1.77023,2.67669,2.17634,0.45866,0.18481,0.14111,0.04152,2.61079,3.27604,3.54351,0.00078613,0.00078613,0.0209882
5,192.335,1.79078,2.73536,2.18752,0.34447,0.40691,0.28454,0.08144,2.48624,2.91862,3.14157,0.00097822,0.00097822,0.00118024
6,227.113,1.75766,2.68784,2.16415,0.35522,0.2122,0.18736,0.05769,2.31245,3.04793,2.7971,0.00097525,0.00097525,0.00097525
7,263.196,1.75488,2.63967,2.14358,0.24354,0.33939,0.23145,0.07259,2.34489,2.94507,2.90394,0.0009703,0.0009703,0.0009703
8,297.719,1.6775,2.52541,2.11371,0.30388,0.32635,0.26434,0.08121,2.37452,2.74195,2.89273,0.00096535,0.00096535,0.00096535
9,333.242,1.71598,2.51872,2.13488,0.3096,0.37243,0.27725,0.07963,2.29643,2.69279,2.89579,0.0009604,0.0009604,0.0009604
10,369.446,1.67745,2.47308,2.11481,0.42905,0.37949,0.36116,0.1247,2.23853,2.44813,2.81488,0.00095545,0.00095545,0.00095545
11,404.084,1.67998,2.43892,2.09796,0.38774,0.45244,0.39105,0.14137,2.20904,2.35547,2.62984,0.0009505,0.0009505,0.0009505
12,440.13,1.65716,2.37984,2.07568,0.35999,0.40322,0.33898,0.11453,2.25376,2.49173,2.88947,0.00094555,0.00094555,0.00094555
13,475.278,1.65284,2.39132,2.08953,0.3835,0.30599,0.30583,0.10055,2.38219,2.51264,2.99568,0.0009406,0.0009406,0.0009406
14,510.189,1.62738,2.30484,2.04471,0.44173,0.36621,0.35125,0.11176,2.22444,2.48039,2.7964,0.00093565,0.00093565,0.00093565
15,545.667,1.60777,2.28478,2.0449,0.57547,0.48855,0.44331,0.15423,2.23497,2.23908,2.79201,0.0009307,0.0009307,0.0009307
16,580.142,1.58258,2.21372,2.02033,0.52804,0.47676,0.47782,0.1767,2.17566,2.09868,2.69947,0.00092575,0.00092575,0.00092575
17,616.288,1.60276,2.25075,2.02267,0.58692,0.45266,0.53358,0.19226,2.15417,1.97241,2.67566,0.0009208,0.0009208,0.0009208
18,651.725,1.59402,2.19523,2.01323,0.56805,0.43624,0.4613,0.16275,2.21074,2.11276,2.75264,0.00091585,0.00091585,0.00091585
19,685.783,1.57415,2.21245,2.00149,0.41335,0.45886,0.39017,0.13898,2.21235,2.25288,2.76884,0.0009109,0.0009109,0.0009109
20,721.779,1.5496,2.1866,1.98879,0.48555,0.4811,0.48581,0.19026,2.18459,2.15574,2.69774,0.00090595,0.00090595,0.00090595
21,756.752,1.57822,2.15186,1.98726,0.57854,0.35731,0.40336,0.1434,2.22759,2.67801,2.83633,0.000901,0.000901,0.000901
22,792.9,1.55807,2.12322,1.98047,0.49352,0.52425,0.50673,0.19948,2.16748,1.93517,2.70238,0.00089605,0.00089605,0.00089605
23,828.522,1.56234,2.04621,1.97323,0.57965,0.40136,0.45463,0.15792,2.38409,2.1649,2.90058,0.0008911,0.0008911,0.0008911
24,863.543,1.53001,2.07835,1.95262,0.51226,0.4411,0.44532,0.1595,2.26878,2.22483,2.78884,0.00088615,0.00088615,0.00088615
25,900.155,1.5239,2.04282,1.94951,0.60386,0.52295,0.55117,0.20492,2.09639,1.96385,2.57726,0.0008812,0.0008812,0.0008812
26,935.705,1.50042,2.02958,1.92513,0.55243,0.51361,0.50536,0.18311,2.22888,2.03196,2.76907,0.00087625,0.00087625,0.00087625
27,972.384,1.50802,1.94375,1.9312,0.71339,0.49956,0.58234,0.22165,2.28828,1.86998,2.78465,0.0008713,0.0008713,0.0008713
28,1007.73,1.49783,1.97243,1.92229,0.59427,0.58484,0.63187,0.24548,2.137,1.8207,2.61033,0.00086635,0.00086635,0.00086635
29,1044.32,1.52431,1.98937,1.92648,0.69191,0.63742,0.69269,0.24488,2.23148,1.62847,2.66578,0.0008614,0.0008614,0.0008614
30,1080.24,1.49219,1.91926,1.91018,0.56231,0.59147,0.60423,0.22763,2.21795,1.78246,2.69037,0.00085645,0.00085645,0.00085645
31,1115.57,1.49662,1.93334,1.92053,0.58161,0.55561,0.58499,0.21339,2.10489,1.89599,2.57254,0.0008515,0.0008515,0.0008515
32,1152.43,1.47763,1.90914,1.91038,0.61957,0.57977,0.61977,0.23482,2.06287,1.74265,2.57529,0.00084655,0.00084655,0.00084655
33,1188.02,1.44018,1.8495,1.87961,0.58159,0.58085,0.5794,0.22143,2.1937,1.77066,2.74395,0.0008416,0.0008416,0.0008416
34,1224.47,1.46008,1.82737,1.89029,0.69658,0.55093,0.64126,0.2273,2.2685,1.65231,2.83657,0.00083665,0.00083665,0.00083665
